left_image_path,right_image_path,label,phash_distance,dhash_distance,left_source_split,right_source_split,cross_source_split
test/NORMAL/NORMAL2-IM-0060-0001.jpeg,train/NORMAL/IM-0650-0001-0002.jpeg,0,4,3,provided_test,provided_train,True
test/NORMAL/NORMAL2-IM-0321-0001.jpeg,train/NORMAL/NORMAL2-IM-0517-0001.jpeg,0,4,4,provided_test,provided_train,True
test/NORMAL/NORMAL2-IM-0343-0001.jpeg,train/NORMAL/IM-0255-0001.jpeg,0,4,4,provided_test,provided_train,True
train/NORMAL/IM-0237-0001.jpeg,train/NORMAL/IM-0364-0001.jpeg,0,4,3,provided_train,provided_train,False
train/NORMAL/IM-0237-0001.jpeg,train/NORMAL/NORMAL2-IM-1350-0001.jpeg,0,2,1,provided_train,provided_train,False
train/NORMAL/IM-0255-0001.jpeg,train/NORMAL/IM-0624-0001.jpeg,0,4,3,provided_train,provided_train,False
train/NORMAL/IM-0255-0001.jpeg,train/NORMAL/NORMAL2-IM-1094-0001-0002.jpeg,0,4,4,provided_train,provided_train,False
train/NORMAL/IM-0266-0001.jpeg,train/NORMAL/IM-0495-0001.jpeg,0,2,3,provided_train,provided_train,False
train/NORMAL/IM-0266-0001.jpeg,train/NORMAL/NORMAL2-IM-0892-0001.jpeg,0,4,2,provided_train,provided_train,False
train/NORMAL/IM-0274-0001.jpeg,train/NORMAL/IM-0502-0001.jpeg,0,4,4,provided_train,provided_train,False
train/NORMAL/IM-0290-0001.jpeg,train/NORMAL/IM-0688-0001.jpeg,0,4,4,provided_train,provided_train,False
train/NORMAL/IM-0304-0001.jpeg,train/NORMAL/NORMAL2-IM-1350-0001.jpeg,0,4,4,provided_train,provided_train,False
train/NORMAL/IM-0318-0001.jpeg,train/NORMAL/IM-0631-0001-0002.jpeg,0,4,3,provided_train,provided_train,False
train/NORMAL/IM-0364-0001.jpeg,train/NORMAL/NORMAL2-IM-1350-0001.jpeg,0,4,4,provided_train,provided_train,False
train/NORMAL/IM-0440-0001.jpeg,train/NORMAL/NORMAL2-IM-0888-0001.jpeg,0,4,1,provided_train,provided_train,False
train/NORMAL/IM-0445-0001.jpeg,train/NORMAL/NORMAL2-IM-1314-0001.jpeg,0,4,4,provided_train,provided_train,False
train/NORMAL/IM-0476-0001.jpeg,train/NORMAL/NORMAL2-IM-1098-0001.jpeg,0,4,4,provided_train,provided_train,False
train/NORMAL/IM-0497-0001.jpeg,train/NORMAL/NORMAL2-IM-0698-0001.jpeg,0,4,4,provided_train,provided_train,False
train/NORMAL/IM-0521-0001.jpeg,train/NORMAL/NORMAL2-IM-0892-0001.jpeg,0,4,2,provided_train,provided_train,False
train/NORMAL/IM-0523-0001-0001.jpeg,train/NORMAL/IM-0577-0001.jpeg,0,4,1,provided_train,provided_train,False
train/NORMAL/IM-0524-0001.jpeg,train/NORMAL/IM-0557-0001.jpeg,0,4,2,provided_train,provided_train,False
train/NORMAL/IM-0524-0001.jpeg,train/NORMAL/NORMAL2-IM-0892-0001.jpeg,0,4,2,provided_train,provided_train,False
train/NORMAL/IM-0524-0001.jpeg,train/NORMAL/NORMAL2-IM-1104-0001.jpeg,0,4,0,provided_train,provided_train,False
train/NORMAL/IM-0557-0001.jpeg,train/NORMAL/NORMAL2-IM-0892-0001.jpeg,0,4,0,provided_train,provided_train,False
train/NORMAL/IM-0560-0001.jpeg,train/NORMAL/NORMAL2-IM-0629-0001.jpeg,0,4,3,provided_train,provided_train,False
train/NORMAL/IM-0560-0001.jpeg,train/NORMAL/NORMAL2-IM-0936-0001.jpeg,0,4,4,provided_train,provided_train,False
train/NORMAL/IM-0571-0001.jpeg,train/NORMAL/NORMAL2-IM-1020-0001.jpeg,0,4,3,provided_train,provided_train,False
train/NORMAL/IM-0612-0001.jpeg,train/NORMAL/NORMAL2-IM-1292-0001.jpeg,0,4,4,provided_train,provided_train,False
train/NORMAL/IM-0678-0001.jpeg,train/NORMAL/NORMAL2-IM-0433-0001.jpeg,0,4,4,provided_train,provided_train,False
train/NORMAL/IM-0697-0001.jpeg,train/NORMAL/NORMAL2-IM-1041-0001.jpeg,0,4,4,provided_train,provided_train,False
train/NORMAL/NORMAL2-IM-0490-0001.jpeg,train/NORMAL/NORMAL2-IM-1306-0001.jpeg,0,4,4,provided_train,provided_train,False
train/NORMAL/NORMAL2-IM-0533-0001.jpeg,train/NORMAL/NORMAL2-IM-1020-0001.jpeg,0,4,2,provided_train,provided_train,False
train/NORMAL/NORMAL2-IM-0564-0001.jpeg,train/NORMAL/NORMAL2-IM-0951-0001.jpeg,0,4,3,provided_train,provided_train,False
train/NORMAL/NORMAL2-IM-0647-0001.jpeg,train/NORMAL/NORMAL2-IM-0937-0001.jpeg,0,4,4,provided_train,provided_train,False
train/NORMAL/NORMAL2-IM-0686-0001.jpeg,train/NORMAL/NORMAL2-IM-0870-0001.jpeg,0,4,3,provided_train,provided_train,False
